entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
9b262cbd-33f0-50fc-bb62-6c2f66567ca7	9	1	1	1	ABBOTT, AUSTIN.	Digest of all the New York reports, 1926.	A990503	1927-05-25	R148780	1955-04-25	Lawyers Co-operative Pub. Co.|PCW						ABBOTT, AUSTIN. Digest of all the New York reports, 1926. © 25May27; A990503. Lawyers Co-operative Pub. Co. (PCW); 25Apr55; R148780.
bb2e9a7f-0cf3-59bf-ab7e-6e563661a0dd	9	1	1	1	ADAMIC, LOUIS.	Facts you should know about California, by Louis Adamic and others.	A1073419	1928-04-02	R149181	1955-05-09	Haldeman-Julius Co.|PWH						ADAMIC, LOUIS. Facts you should know about California, by Louis Adamic and others. © 2Apr28; A1073419. Haldeman-Julius Co. (PWH); 9May55; R149181.
c58d7c18-d51f-5dd3-b26a-a987c69533b7	9	1	1	1	ADAMS, FLORENCE.	Highways and holidays, by Florence Adams and Elizabeth McCarrick. Decorated by Emma L. Brock.	A1010230	1927-10-14	R144827	1955-02-21	Florence Adams|A						ADAMS, FLORENCE. Highways and holidays, by Florence Adams and Elizabeth McCarrick. Decorated by Emma L. Brock. © 14Oct27; A1010230. Florence Adams (A); 21Feb55; R144827.
60da8eaa-50f7-5d7c-a019-0cea054bd901	9	1	1	2	ADAMS, RANDOLPH G.	The gateway to American history.	A1013112	1927-11-12	R151783	1955-06-27	Helen Spiller Adams|Mrs. Randolph G. Adams|||W						ADAMS, RANDOLPH G. The gateway to American history. © 12Nov27; A1013112. Helen Spiller Adams (Mrs. Randolph G. Adams) (W); 27Jun55; R151783.
7ad23ab7-5049-5bc1-8a81-b3feb9ef0b68	9	1	1	2	ADAMS, ROGER.	Elementary laboratory experiments in organic chemistry, by Roger Adams and John R. Johnson.	A974175	1927-03-11	R143869	1955-02-02	Roger Adams & John R. Johnson|A						ADAMS, ROGER. Elementary laboratory experiments in organic chemistry, by Roger Adams and John R. Johnson. © 11Mar27; A974175. Roger Adams & John R. Johnson (A); 2Feb55; R143869.
aab40ece-f485-54be-84cd-5375238ebf28	9	1	1	2	ADAMS, SAMUEL HOPKINS.	Fifi & the helping hand. (In Pictorial review, Apr. 1928)	B785270	1928-03-28	R148750	1955-04-26	Samuel Hopkins Adams|A						ADAMS, SAMUEL HOPKINS. Fifi & the helping hand. (In Pictorial review, Apr. 1928) © 28Mar28; B785270. Samuel Hopkins Adams (A); 26Apr55; R148750.
ecaa68a9-50ee-50f4-a3b0-e74d8a7d3079	9	1	1	2	ADAMS, SAMUEL HOPKINS.	A long yell for Nero. (In Collier's, Jan. 21, 1928)	B783150	1928-01-02	R143161	1955-01-17	Samuel Hopkins Adams|A						ADAMS, SAMUEL HOPKINS. A long yell for Nero. (In Collier's, Jan. 21, 1928) © 2Jan28; B783150. Samuel Hopkins Adams (A); 17Jan55; R143161.
65cb9a12-a249-5470-a7e1-c876efbe98ce	9	1	1	2	ADDISON, WILLIAM H. F.	Piersol's normal histology. 13th ed.	A963663	1927-01-26	R142819	1955-01-06	William H. F. Addison|A						ADDISON, WILLIAM H. F. Piersol's normal histology. 13th ed. © 26Jan27; A963663. William H. F. Addison (A); 6Jan55; R142819.
9808ffc9-fcbd-5e2e-b7b8-1bc82fa87dc8	9	1	1	2	AIKEN, CONRAD.	The moment. (In Harper's magazine, May 1928)	B787254	1928-04-18	R151895	1955-06-29	Conrad Aiken|A						AIKEN, CONRAD. The moment. (In Harper's magazine, May 1928) © 18Apr28; B787254. Conrad Aiken (A); 29Jun55; R151895.
b2575a21-e207-5bed-9309-ec2ef63f83c8	9	1	1	2	AIKEN, CONRAD.	Quarrel. (In Scribner's magazine, Mar. 1928)	B766833	1928-02-25	R148305	1955-04-08	Conrad Aiken|A						AIKEN, CONRAD. Quarrel. (In Scribner's magazine, Mar. 1928) © 25Feb28; B766833. Conrad Aiken (A); 8Apr55; R148305.
b09015ac-58ca-5e19-b689-24c0993855c1	9	1	1	2	AIKEN, CONRAD.	Spider spider. (In Scribner's magazine, Feb. 1928)	B765581	1928-01-25	R143906	1955-02-08	Conrad Aiken|A						AIKEN, CONRAD. Spider spider. (In Scribner's magazine, Feb. 1928) © 25Jan28; B765581. Conrad Aiken (A); 8Feb55; R143906.
bda8edea-ae52-5827-8ea7-8285d17b91ef	9	1	1	2	AIKEN, CONRAD.	State of mind. (In The New republic, July 6, 1927)	B747404	1927-07-01	R143905	1955-02-08	Conrad Aiken|A						AIKEN, CONRAD. State of mind. (In The New republic, July 6, 1927) © 1Jul27; B747404. Conrad Aiken (A); 8Feb55; R143905.
40cf51a3-58fd-505e-b237-747946ad6e96	9	1	1	2	AIKEN, CONRAD.	The woman hater. (In Scribner's magazine, Apr. 1928)	B785586	1928-03-24	R148306	1955-04-08	Conrad Aiken|A						AIKEN, CONRAD. The woman hater. (In Scribner's magazine, Apr. 1928) © 24Mar28; B785586. Conrad Aiken (A); 8Apr55; R148306.
d0ae19f4-5ccf-51a8-90a5-69a38d8b9d2c	9	1	1	3	ALABAMA. SUPREME COURT.	Report of cases argued and determined in the Supreme Court of Alabama during the October terms, 1926-1927, 1927-1928. By Noble H. Seay, reporter of decisions. Vol.216.	A1018845	1928-01-21	R148132	1955-04-04	State of Alabama|PWH						ALABAMA. SUPREME COURT. Report of cases argued and determined in the Supreme Court of Alabama during the October terms, 1926-1927, 1927-1928. By Noble H. Seay, reporter of decisions. Vol.216. © 21Jan28; A1018845. State of Alabama (PWH); 4Apr55; R148132.
e2529044-ee2f-566c-876b-7ce94b771da5	9	1	1	3	ALAIN.	Propos sur le bonheur, par Alain, pseud. de Emile Chartier.	AF38366	1928-02-14	R151415	1955-06-15	Mme. Emile Chartier|nee Gabrielle Landormy|||W						ALAIN. Propos sur le bonheur, par Alain, pseud. de Emile Chartier. © 14Feb28; AF38366. Mme. Emile Chartier (nee Gabrielle Landormy) (W); 15Jun55; R151415.
53388672-7729-55e3-9880-db1bbc4854b1	9	1	1	3	ALARCÓN, PEDRO ANTONIO DE.	The three-cornered hat. Translated out of the Spanish by Martin Armstrong. Illustrated by Norman Tealby.	A1069056	1928-02-29	R148899	1955-04-19	Martin Armstrong|A						ALARCÓN, PEDRO ANTONIO DE. The three-cornered hat. Translated out of the Spanish by Martin Armstrong. Illustrated by Norman Tealby. © 29Feb28; A1069056. Martin Armstrong (A); 19Apr55; R148899.
